Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Day_of_Journey,Travelling_time,Price
3,2,2,270,1,0,3,1,5264
6,2,2,190,0,0,6,1,8001
1,2,2,1410,2,0,6,3,10651
2,1,1,1640,1,1,4,2,10844
4,2,2,755,1,0,2,1,6601
1,2,2,1455,1,0,3,3,6587
3,4,4,80,0,0,3,2,3173
1,0,0,165,0,0,3,1,5228
2,0,0,180,0,1,4,1,5769
2,2,2,660,1,0,3,1,14714
2,2,2,810,2,0,2,0,13014
0,0,0,170,0,0,2,3,3359
5,0,0,175,0,0,6,3,6722
0,1,1,165,0,0,0,1,4462
0,2,2,675,1,0,1,0,6171
1,1,1,875,2,0,1,0,12303
4,2,2,835,1,0,3,1,7695
0,2,2,845,1,0,0,1,5684
1,1,1,905,1,0,4,2,8366
1,3,3,135,0,0,3,1,19630
2,0,0,900,1,1,0,2,13502
2,1,1,775,1,0,5,3,14781
4,2,2,540,1,0,4,1,6513
1,2,2,735,1,0,6,1,9929
4,2,2,460,2,0,3,2,18275
1,2,2,1640,1,0,2,1,4487
0,4,4,85,0,0,4,3,2754
1,4,4,80,0,0,2,1,2575
3,1,1,330,1,0,4,2,8224
1,2,2,705,1,0,1,3,8991
0,2,2,195,0,0,0,0,5000
2,1,1,1495,1,1,4,3,8529
1,2,2,1640,1,0,6,1,14042
2,0,0,175,0,1,4,1,4030
2,1,1,1025,1,1,3,3,10844
0,1,1,160,0,0,2,3,4804
4,2,2,480,1,1,0,2,7308
0,0,0,180,0,0,3,2,4823
2,2,2,1655,1,1,0,1,10262
2,2,2,450,1,1,0,3,12898
1,0,0,1375,2,0,1,2,12778
0,2,2,515,1,0,6,0,14871
1,2,2,1795,2,0,3,2,8708
2,1,1,1335,1,1,3,3,10844
3,4,4,80,0,0,0,0,4129
0,1,1,160,0,0,5,3,4804
2,0,0,180,0,0,2,1,7229
2,0,0,730,1,1,3,1,7832
3,3,3,155,0,0,0,1,3859
4,2,2,705,1,0,3,1,9001
6,0,0,155,0,0,3,2,4878
0,4,4,90,0,0,1,0,2754
6,0,0,160,0,0,3,1,4668
7,1,1,155,0,0,3,1,5216
2,2,2,1375,2,1,3,0,10368
0,2,2,880,2,0,1,1,8146
2,2,2,925,1,0,2,2,12242
2,0,0,435,1,1,4,1,9134
1,2,2,1210,2,0,3,2,10939
1,2,2,1245,2,0,3,1,11753
3,1,1,150,0,0,2,2,4174
2,1,1,1430,1,1,1,3,10844
2,2,2,1620,1,0,2,2,14714
2,1,1,330,1,1,4,1,9899
0,2,2,710,1,0,6,1,14871
0,3,3,135,0,0,0,2,7295
1,2,2,1470,2,0,3,3,13465
3,3,3,140,0,2,1,2,3543
4,2,2,390,1,0,3,3,7198
2,2,2,1225,1,1,6,1,10262
0,1,1,155,0,0,4,2,4148
2,0,0,175,0,0,3,2,8016
2,2,2,335,1,1,4,3,10262
3,1,1,150,0,2,5,2,3841
2,0,0,885,1,0,1,1,11507
2,1,1,740,1,0,5,1,14781
2,2,2,1530,1,0,0,2,16079
2,2,2,335,1,1,0,3,12898
4,2,2,705,1,0,0,1,15353
0,0,0,175,0,0,6,3,7303
3,1,1,340,1,0,6,2,6197
1,1,1,245,1,0,4,1,8996
0,2,2,480,1,0,3,2,6528
5,0,0,165,0,0,2,3,4239
0,1,1,160,0,0,1,3,4148
3,0,0,175,0,0,4,3,3971
7,1,1,955,1,0,2,1,5192
2,2,2,1390,2,0,2,2,9483
2,2,2,440,2,0,2,1,18804
1,2,2,170,0,0,1,0,5201
2,2,2,450,1,0,0,1,16079
2,0,0,180,0,1,5,3,7229
4,2,2,465,1,0,0,2,6795
2,1,1,1520,1,0,3,1,10953
4,2,2,625,2,0,0,2,15965
1,2,2,1820,2,0,2,2,9968
0,1,1,155,0,0,3,3,4804
2,2,2,540,1,0,0,1,16079
2,2,2,910,2,1,4,3,11507
1,1,1,1700,2,0,4,1,11542
2,0,0,180,0,0,2,2,7229
2,0,0,165,0,1,5,1,4544
0,2,2,295,1,0,2,0,6496
0,1,1,160,0,0,5,3,4804
1,0,0,1330,1,0,3,1,13439
2,2,2,610,1,1,2,3,6540
0,0,0,170,0,0,6,3,4591
0,0,0,260,1,0,0,2,4437
7,2,2,660,1,0,3,3,6151
2,0,0,180,0,1,4,2,7754
2,2,2,1355,1,1,0,2,10262
2,0,0,185,0,0,4,3,8016
3,1,1,160,0,2,6,1,4781
6,0,0,170,0,0,3,1,4668
1,0,0,1265,1,0,0,1,14594
2,1,1,710,1,0,6,2,14231
1,2,2,1535,1,0,2,0,8425
4,2,2,925,1,0,4,1,9646
0,3,3,145,0,0,6,2,7295
7,1,1,220,1,0,2,1,5162
0,0,0,175,0,0,1,3,6860
6,2,2,190,0,0,0,1,6216
7,1,1,710,1,0,4,1,5192
0,0,0,170,0,0,2,3,4823
3,0,0,170,0,2,0,1,3919
0,4,4,90,0,0,2,3,2754
4,2,2,690,1,0,3,1,9315
4,2,2,530,1,0,2,1,11667
2,1,1,1215,1,1,4,1,6224
1,1,1,1210,2,0,6,1,13349
2,0,0,965,1,1,0,2,11087
4,2,2,755,1,0,0,2,15603
2,2,2,1025,2,0,3,3,15129
0,0,0,180,0,0,2,2,4823
6,1,1,930,1,0,5,1,8452
4,2,2,690,1,0,3,1,12524
3,3,3,140,0,0,2,2,3384
2,2,2,1425,1,1,6,3,10262
3,4,4,90,0,2,1,2,1965
0,1,1,155,0,0,5,3,4804
2,2,2,1485,1,0,0,3,16079
2,2,2,1295,2,0,6,3,13292
7,2,2,330,1,0,3,1,6751
1,2,2,735,1,0,2,1,8669
0,2,2,485,1,0,6,2,14871
2,2,2,300,1,1,1,2,12898
3,0,0,170,0,2,3,1,3919
4,2,2,385,1,0,3,2,36983
0,3,3,140,0,0,2,3,3597
1,0,0,165,0,0,1,2,10741
1,1,1,765,2,0,3,2,11432
2,0,0,950,1,1,1,3,11087
2,2,2,1620,2,0,2,1,13292
1,2,2,1585,3,0,5,0,10493
5,0,0,175,0,0,1,1,7631
1,2,2,1490,2,0,3,1,13381
2,1,1,520,1,0,3,3,13731
1,2,2,1545,2,0,1,0,11911
0,0,0,170,0,0,3,3,4591
4,2,2,375,1,0,2,2,14848
4,2,2,630,1,0,4,1,8266
1,2,2,1560,2,0,5,2,12392
2,1,1,1025,1,0,4,3,13044
2,2,2,1280,1,1,1,1,12898
2,2,2,335,1,0,3,3,12242
0,0,0,170,0,0,5,1,3943
6,1,1,1550,1,0,6,3,11105
2,1,1,730,1,0,3,3,14388
2,2,2,1025,2,0,5,3,13014
4,2,2,510,1,0,0,1,15411
2,2,2,1385,1,0,1,3,16289
0,2,2,560,1,0,2,1,6442
2,1,1,475,1,1,5,1,10844
2,4,4,90,0,0,5,1,5678
0,0,0,170,0,0,2,3,6906
3,3,3,135,0,2,1,1,3543
2,2,2,600,1,0,3,1,14714
8,0,0,155,0,0,6,2,11793
4,2,2,465,1,0,2,1,14323
3,0,0,175,0,0,2,3,3971
6,1,1,1580,1,0,2,3,8452
6,0,0,160,0,0,2,1,5403
4,2,2,660,1,0,3,1,13727
1,1,1,1165,2,0,4,1,12639
2,0,0,175,0,1,3,2,5198
6,0,0,165,0,0,6,3,4878
2,2,2,1395,1,1,5,3,12373
4,2,2,540,1,1,6,1,8552
6,2,2,190,0,0,6,2,6741
4,2,2,385,1,0,2,2,6481
4,2,2,520,1,0,3,1,7354
1,0,0,170,0,0,6,3,5228
2,1,1,740,1,1,3,1,10844
0,2,2,320,1,0,5,1,6347
1,0,0,240,1,0,4,1,5013
2,1,1,585,1,1,4,3,9663
0,0,0,175,0,0,1,3,4823
1,2,2,1580,2,0,0,2,13381
3,3,3,135,0,2,6,1,3543
2,1,1,585,1,1,2,3,9663
2,1,1,1495,1,1,4,3,7064
2,2,2,715,1,1,4,1,10262
1,2,2,500,2,0,6,1,13013
2,2,2,1045,2,0,3,3,15339
5,0,0,170,0,0,3,1,4937
0,2,2,425,1,0,3,0,6818
1,2,2,1275,2,0,5,3,10441
2,2,2,300,1,1,0,2,5177
0,3,3,145,0,0,3,1,3858
0,1,1,315,1,0,5,3,6534
4,2,2,910,1,0,5,1,6795
4,2,2,705,1,0,2,1,9736
2,0,0,180,0,0,5,3,7229
3,2,2,295,1,0,2,2,4957
0,0,0,165,0,0,1,1,7648
3,1,1,150,0,0,5,2,3873
2,1,1,585,1,0,3,3,14388
0,1,1,160,0,0,0,2,5618
4,2,2,390,1,0,4,3,7408
7,2,2,330,1,0,6,2,13774
6,0,0,160,0,0,1,1,4668
2,2,2,2045,2,0,3,3,13082
1,2,2,925,1,0,2,0,8669
0,2,2,570,1,0,0,2,6316
2,2,2,365,1,1,0,3,12583
6,0,0,160,0,0,1,2,7923
5,2,2,350,1,0,6,1,7378
6,0,0,165,0,0,2,3,4878
2,1,1,1640,1,1,5,2,10844
2,0,0,180,0,0,0,1,7229
3,2,2,315,1,0,1,1,6297
2,1,1,960,1,1,4,3,8529
4,2,2,420,1,0,5,2,13727
3,1,1,520,1,0,4,1,6643
4,2,2,540,1,0,3,1,10197
3,1,1,140,0,0,6,3,4911
0,3,3,140,0,0,0,0,6482
2,0,0,380,1,0,3,1,26890
0,1,1,265,1,0,5,3,3717
0,3,3,140,0,0,6,2,3597
1,0,0,665,2,0,0,1,10846
1,0,0,1015,1,0,3,0,14069
2,2,2,825,1,1,4,3,5177
1,2,2,1545,2,0,0,0,14641
0,2,2,835,1,0,3,1,6442
1,2,2,315,1,0,3,2,5704
2,1,1,1155,1,1,2,2,9663
2,2,2,450,1,0,3,3,14714
2,2,2,540,1,1,4,1,5406
6,1,1,1440,1,0,2,3,8610
2,2,2,1090,2,0,4,3,14237
0,0,0,175,0,0,4,1,4823
0,4,4,90,0,0,2,3,2227
2,2,2,1280,1,1,5,1,12373
1,2,2,375,1,0,3,2,8372
2,2,2,870,1,0,6,2,17024
1,4,4,80,0,0,0,3,3100
2,2,2,775,1,1,1,1,14053
0,3,3,145,0,0,3,0,3540
6,1,1,1350,1,0,1,3,9345
2,2,2,1375,2,1,6,0,10368
2,0,0,325,1,0,3,1,26890
3,4,4,85,0,0,1,1,5755
2,0,0,435,1,1,3,1,7832
2,1,1,740,1,0,2,1,14388
1,2,2,1210,2,0,3,2,8839
1,2,2,1275,2,0,6,3,22096
6,3,3,135,0,0,0,1,3687
4,2,2,630,1,0,2,1,9627
4,2,2,845,1,0,3,1,13542
0,0,0,170,0,0,5,0,4423
0,2,2,985,2,0,6,0,8899
3,2,2,315,1,0,6,1,5583
7,2,2,830,1,0,0,2,6752
3,3,3,135,0,2,1,1,3543
2,0,0,435,1,1,3,1,7832
1,1,1,1625,2,0,5,0,10991
2,2,2,1655,1,1,0,1,12898
2,2,2,300,1,1,0,2,12898
5,0,0,170,0,0,4,1,3398
1,2,2,170,0,0,2,0,5201
1,1,1,920,2,0,2,1,13873
1,2,2,320,1,0,5,2,7384
2,2,2,610,1,1,3,3,10262
2,1,1,1655,1,1,6,1,10031
2,1,1,575,1,1,2,1,12384
2,1,1,1690,1,1,3,2,7757
2,0,0,840,1,0,0,3,17261
3,3,3,155,0,0,3,1,7298
2,0,0,175,0,0,1,2,7229
0,1,1,155,0,0,4,0,4174
0,1,1,280,1,0,5,2,5699
1,1,1,150,0,0,2,2,4880
1,2,2,675,1,0,0,1,15284
2,1,1,475,1,0,6,1,13759
6,1,1,530,1,0,6,1,16092
0,4,4,85,0,0,1,1,4392
2,2,2,940,1,1,0,3,10262
3,1,1,155,0,2,4,1,3841
5,0,0,175,0,0,6,1,5048
1,1,1,805,1,0,1,1,11096
0,2,2,275,1,0,2,1,5073
2,2,2,1110,1,0,6,1,19828
6,3,3,135,0,0,3,1,3739
1,2,2,2295,2,0,1,0,10598
2,0,0,185,0,1,5,3,7229
6,1,1,1550,1,0,4,2,8610
6,2,2,190,0,0,3,2,6216
1,0,0,170,0,0,4,2,6961
2,1,1,690,1,1,2,1,10703
2,1,1,395,1,0,2,2,14151
2,1,1,1655,1,1,3,1,8586
0,1,1,155,0,0,2,3,4488
4,2,2,450,1,0,5,3,7408
2,2,2,195,0,1,3,1,5443
2,1,1,575,1,1,4,1,10539
4,2,2,750,1,0,6,2,7723
4,2,2,680,1,0,0,1,15411
2,0,0,180,0,0,1,1,7229
0,1,1,155,0,0,4,3,4804
2,4,4,90,0,1,6,0,4050
2,1,1,1570,1,0,5,2,14151
3,2,2,295,1,0,1,2,4957
1,0,0,165,0,0,6,3,7591
2,1,1,520,1,1,6,2,11134
0,2,2,425,1,0,0,0,6600
1,0,0,165,0,0,1,3,4966
1,2,2,1490,2,0,6,1,15481
3,1,1,140,0,0,3,3,5515
2,2,2,660,1,0,5,1,14714
5,2,2,540,1,0,5,1,4959
2,0,0,175,0,0,6,1,7229
1,2,2,185,0,0,2,3,6094
7,1,1,155,0,0,2,1,4409
4,2,2,780,1,0,5,1,9794
2,4,4,85,0,0,0,0,5678
0,2,2,455,1,0,5,1,6442
6,0,0,160,0,0,5,1,4878
2,1,1,775,1,1,6,3,12446
2,2,2,1760,2,0,3,3,16704
2,0,0,300,1,1,4,0,9134
2,1,1,520,1,1,2,3,8586
2,0,0,180,0,1,6,1,7229
2,0,0,180,0,1,6,1,6144
1,0,0,165,0,0,5,1,6961
2,1,1,730,1,1,3,2,10844
0,3,3,140,0,0,1,3,3597
3,0,0,475,1,0,3,1,7139
1,4,4,1775,2,0,0,1,25139
2,2,2,1615,2,1,6,1,10368
1,2,2,765,1,0,1,3,5117
4,2,2,455,1,0,5,1,9211
3,1,1,150,0,0,0,2,4174
4,2,2,705,1,0,0,1,10786
2,0,0,1420,1,1,4,1,9134
2,2,2,830,2,0,6,2,13376
1,0,0,770,1,0,3,3,6955
2,1,1,590,1,1,3,1,10844
7,1,1,150,0,0,4,3,3807
2,1,1,1315,1,1,5,2,9663
2,2,2,1570,1,1,3,0,12373
3,0,0,175,0,0,5,3,4991
1,2,2,1215,1,0,3,3,6745
2,2,2,1210,1,1,5,3,10262
2,2,2,655,1,1,2,2,6540
3,1,1,150,0,0,1,2,3873
2,2,2,1270,1,0,3,3,15554
0,1,1,155,0,0,0,3,4804
2,2,2,1240,1,1,2,3,7438
7,0,0,170,0,0,1,0,6181
4,2,2,390,1,0,5,3,9424
1,0,0,1800,2,0,1,2,12725
1,0,0,790,1,0,4,1,6046
3,0,0,175,0,0,5,3,3971
2,1,1,1080,1,0,3,3,12692
0,2,2,480,1,0,0,2,7451
2,0,0,525,1,0,1,3,13817
2,1,1,750,1,1,2,1,10703
2,0,0,800,1,0,1,3,13817
2,0,0,370,1,0,4,3,27210
2,1,1,450,1,0,5,3,13941
1,0,0,1155,1,0,3,2,10246
0,1,1,155,0,0,2,2,4804
7,1,1,720,1,0,3,3,6810
2,0,0,180,0,1,5,1,5198
6,0,0,170,0,0,1,3,5613
0,4,4,85,0,0,6,3,4784
2,2,2,1385,1,1,3,3,5406
1,0,0,170,0,0,5,2,5228
2,2,2,1325,1,1,0,3,12898
1,3,3,135,0,0,5,1,4667
2,1,1,345,1,0,1,2,14781
6,0,0,170,0,0,6,1,5403
2,1,1,570,1,1,4,2,9899
2,2,2,535,2,1,1,3,13029
6,1,1,1065,1,0,5,2,9187
0,0,0,170,0,0,4,3,4823
1,2,2,1305,2,0,2,3,8665
0,2,2,755,1,0,0,1,14871
0,4,4,90,0,0,4,1,4049
1,3,3,135,0,0,4,1,4667
0,1,1,235,1,0,2,3,4226
1,0,0,165,0,0,6,1,7591
2,0,0,450,1,0,0,0,19225
2,2,2,1040,1,1,0,3,12898
0,4,4,90,0,0,4,2,2754
3,4,4,90,0,2,1,2,1965
1,1,1,1830,2,0,6,2,12835
9,0,0,300,1,0,3,0,52229
4,2,2,675,1,0,2,1,14533
6,0,0,170,0,0,0,1,4668
2,2,2,1145,1,0,2,2,11822
2,2,2,395,1,1,2,3,6017
2,2,2,450,1,0,4,1,14714
3,3,3,135,0,0,4,1,3597
7,0,0,165,0,0,2,1,3383
1,1,1,765,2,0,5,2,11642
6,0,0,170,0,0,5,3,5403
1,2,2,1595,2,0,6,2,14221
2,1,1,775,1,1,5,3,8586
0,4,4,90,0,0,4,1,4049
2,2,2,520,1,1,2,3,10262
4,2,2,840,1,0,1,1,7888
1,2,2,1410,2,0,3,3,8236
1,2,2,1795,2,0,3,2,12961
2,1,1,1330,1,1,3,1,8586
0,1,1,290,1,0,5,1,5279
5,0,0,165,0,0,1,3,3419
2,2,2,810,2,0,5,0,13292
2,1,1,800,1,0,2,3,13067
0,3,3,140,0,0,1,2,3597
2,2,2,715,1,0,5,1,15554
0,2,2,310,1,0,2,2,6027
2,1,1,705,1,0,3,1,14781
2,2,2,830,2,0,6,2,13376
0,0,0,180,0,0,0,3,3943
5,2,2,370,1,0,4,1,5842
0,3,3,140,0,0,4,0,4326
4,2,2,645,1,0,6,1,8937
1,3,3,135,0,0,3,1,3670
0,0,0,175,0,0,1,3,4823
2,4,4,90,0,1,0,3,2071
4,2,2,455,1,1,3,2,6093
6,1,1,1595,1,0,6,3,11682
0,0,0,285,1,0,6,0,7774
2,1,1,1285,1,0,3,2,13067
0,2,2,515,1,0,0,1,7514
4,2,2,510,1,0,2,2,6838
0,3,3,135,0,0,0,2,3858
4,2,2,760,1,0,5,2,6795
2,2,2,505,2,0,0,3,16263
1,1,1,1540,1,0,3,2,8576
1,0,0,165,0,0,2,1,5228
2,2,2,1760,2,0,5,3,16704
0,1,1,160,0,0,6,3,8872
5,0,0,170,0,0,1,1,3898
3,3,3,140,0,2,3,2,3332
2,1,1,435,1,1,1,1,5608
2,1,1,1215,1,0,3,1,13941
4,2,2,705,1,0,3,1,9100
6,0,0,155,0,0,5,2,4878
0,2,2,810,1,0,6,1,6416
3,4,4,90,0,0,3,0,2017
2,2,2,1475,2,0,2,3,10976
2,1,1,1235,1,1,6,3,10031
0,1,1,170,0,0,0,0,4462
0,2,2,275,1,0,4,1,5073
0,3,3,140,0,0,2,0,4326
10,2,2,705,1,0,3,1,10161
0,4,4,90,0,0,4,2,3175
6,1,1,770,1,0,6,3,12312
2,2,2,1470,2,0,3,3,12604
4,2,2,690,1,0,5,1,10877
0,1,1,240,1,0,5,1,4226
